"TEMA","SUBTEMA","VARIABLE","CLASE","Fuente","AÑO","Mes","Valor"
"Informacion Destacada del turismo internacional","Mundo Entero","Llegadas de Turistas Internacionales","Millones de Personas","International Tourism Highlights (2012-2019)","2014","","1133"
"Informacion Destacada del turismo internacional","Mundo Entero","Exportaciones Totales de Turismo Internacional","(ingresos + transporte de pasajeros) Trillones de Dólares ","International Tourism Highlights (2012-2019)","2014","","1.5"
"Informacion Destacada del turismo internacional","Mundo Entero","Transporte Internacional de Pasajeros","Millones de Personas","International Tourism Highlights (2012-2019)","2014","","221"
"Informacion Destacada del turismo internacional","Mundo Entero","Ingresos por turismo internacional","Billones de Dólares ","International Tourism Highlights (2012-2019)","2014","","1245"
"Informacion Destacada del turismo internacional","Europa","Llegadas de Turistas Internacionales","Millones de Personas","International Tourism Highlights (2012-2019)","2014","","582"
"Informacion Destacada del turismo internacional","Americas","Llegadas de Turistas Internacionales","Millones de Personas","International Tourism Highlights (2012-2019)","2014","","181"
"Informacion Destacada del turismo internacional","Asia y el Pacifico","Llegadas de Turistas Internacionales","Millones de Personas","International Tourism Highlights (2012-2019)","2014","","263"
"Informacion Destacada del turismo internacional","Africa","Llegadas de Turistas Internacionales","Millones de Personas","International Tourism Highlights (2012-2019)","2014","","56"
"Informacion Destacada del turismo internacional","Medio Oriente","Llegadas de Turistas Internacionales","Millones de Personas","International Tourism Highlights (2012-2019)","2014","","51"
"Informacion Destacada del turismo internacional","Europa","Exportaciones Totales de Turismo Internacional","(ingresos + transporte de pasajeros) Billones de Dólares ","International Tourism Highlights (2012-2019)","2014","","509"
"Informacion Destacada del turismo internacional","Americas","Exportaciones Totales de Turismo Internacional","(ingresos + transporte de pasajeros) Billones de Dólares ","International Tourism Highlights (2012-2019)","2014","","274"
"Informacion Destacada del turismo internacional","Asia y el Pacifico","Exportaciones Totales de Turismo Internacional","(ingresos + transporte de pasajeros) Billones de Dólares ","International Tourism Highlights (2012-2019)","2014","","377"
"Informacion Destacada del turismo internacional","Africa","Exportaciones Totales de Turismo Internacional","(ingresos + transporte de pasajeros) Billones de Dólares ","International Tourism Highlights (2012-2019)","2014","","36"
"Informacion Destacada del turismo internacional","Medio Oriente","Exportaciones Totales de Turismo Internacional","(ingresos + transporte de pasajeros) Billones de Dólares ","International Tourism Highlights (2012-2019)","2014","","49"
"Informacion Destacada del turismo internacional","Mundo Entero","Proposito del Viaje","Ocio,recreación,vacaciones","International Tourism Highlights (2012-2019)","2014","","53.0%"
"Informacion Destacada del turismo internacional","Mundo Entero","Proposito del Viaje","VFR, salud,religión, otro","International Tourism Highlights (2012-2019)","2014","","27.0%"
"Informacion Destacada del turismo internacional","Mundo Entero","Proposito del Viaje","Negocios y profesional","International Tourism Highlights (2012-2019)","2014","","14.0%"
"Informacion Destacada del turismo internacional","Mundo Entero","Proposito del Viaje","No especificado","International Tourism Highlights (2012-2019)","2014","","6.0%"
"Informacion Destacada del turismo internacional","Mundo Entero","Medio de Transporte","Aire","International Tourism Highlights (2012-2019)","2014","","54.0%"
"Informacion Destacada del turismo internacional","Mundo Entero","Medio de Transporte","Terrestre y tren","International Tourism Highlights (2012-2019)","2014","","41.0%"
"Informacion Destacada del turismo internacional","Mundo Entero","Medio de Transporte","Agua","International Tourism Highlights (2012-2019)","2014","","5.0%"
"Prestadores de Servicios Turísticos - PST","Agencia de viajes","Total","","Cámara de Comercio de Bogotá- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT","2015","","1484"
"Prestadores de Servicios Turísticos - PST","Arrendadores de vehiculos para turismo nacional e internacional","Total","","Cámara de Comercio de Bogotá- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT","2015","","39"
"Prestadores de Servicios Turísticos - PST","Empresa de tiempo compartido y multipropiedad","Total","","Cámara de Comercio de Bogotá- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT","2015","","18"
"Prestadores de Servicios Turísticos - PST","Empresa de transporte terrestre automotor","Total","","Cámara de Comercio de Bogotá- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT","2015","","76"
"Prestadores de Servicios Turísticos - PST","Empresas captadoras de ahorro para viajes y de servicios turisticos","Total","","Cámara de Comercio de Bogotá- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT","2015","","12"
"Prestadores de Servicios Turísticos - PST","Establecimiento de alojamiento y hospedaje","Total","","Cámara de Comercio de Bogotá- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT","2015","","720"
"Prestadores de Servicios Turísticos - PST","Establecimiento de alojamiento y hospedaje","Habitaciones","","Cámara de Comercio de Bogotá- CCB y Ministerio de Comercio, Industria y Turismo- MinCIT","2015","","24620"
